resource,hour,gen_sum
_onshore_wind_turbine,2401,163.3088
_small_hydroelectric,2401,3.184932
_solar_photovoltaic,2401,0.0
_solar_photovoltaic_btm,2401,0.0
biomass,2401,21.4
hydroelectric_pumped_storage,2401,42.0
natural_gas_fired_combined_cycle,2401,1385.106268
natural_gas_fired_combustion_turbine,2401,0.0
_onshore_wind_turbine,2402,169.79327999999998
_small_hydroelectric,2402,3.184932
_solar_photovoltaic,2402,0.0
_solar_photovoltaic_btm,2402,0.0
biomass,2402,21.4
hydroelectric_pumped_storage,2402,42.0
natural_gas_fired_combined_cycle,2402,1316.621788
natural_gas_fired_combustion_turbine,2402,0.0
_onshore_wind_turbine,2403,115.1104
_small_hydroelectric,2403,3.184932
_solar_photovoltaic,2403,0.0
_solar_photovoltaic_btm,2403,0.0
biomass,2403,21.4
hydroelectric_pumped_storage,2403,42.0
natural_gas_fired_combined_cycle,2403,1336.304668
natural_gas_fired_combustion_turbine,2403,0.0
_onshore_wind_turbine,2404,100.55296
_small_hydroelectric,2404,3.184932
_solar_photovoltaic,2404,0.0
_solar_photovoltaic_btm,2404,0.0
biomass,2404,21.4
hydroelectric_pumped_storage,2404,42.0
natural_gas_fired_combined_cycle,2404,1394.8621079999998
natural_gas_fired_combustion_turbine,2404,0.0
_onshore_wind_turbine,2405,80.57728000000009
_small_hydroelectric,2405,3.184932
_solar_photovoltaic,2405,0.0
_solar_photovoltaic_btm,2405,0.0
biomass,2405,21.4
hydroelectric_pumped_storage,2405,42.0
natural_gas_fired_combined_cycle,2405,1585.8377879999998
natural_gas_fired_combustion_turbine,2405,0.0
_onshore_wind_turbine,2406,139.17695999999998
_small_hydroelectric,2406,3.184932
_solar_photovoltaic,2406,0.0
_solar_photovoltaic_btm,2406,0.0
biomass,2406,21.4
hydroelectric_pumped_storage,2406,42.0
natural_gas_fired_combined_cycle,2406,1770.238108
natural_gas_fired_combustion_turbine,2406,0.0
_onshore_wind_turbine,2407,74.17983999999979
_small_hydroelectric,2407,3.184932
_solar_photovoltaic,2407,27.650000000000208
_solar_photovoltaic_btm,2407,33.18
biomass,2407,21.4
hydroelectric_pumped_storage,2407,42.0
natural_gas_fired_combined_cycle,2407,1928.5
natural_gas_fired_combustion_turbine,2407,177.08522799999992
_onshore_wind_turbine,2408,49.37343999999953
_small_hydroelectric,2408,3.184932000000117
_solar_photovoltaic,2408,110.55000000000018
_solar_photovoltaic_btm,2408,132.66
biomass,2408,21.4
hydroelectric_pumped_storage,2408,42.0
natural_gas_fired_combined_cycle,2408,1928.5
natural_gas_fired_combustion_turbine,2408,441.99162800000005
_onshore_wind_turbine,2409,167.35616000000016
_small_hydroelectric,2409,3.184932
_solar_photovoltaic,2409,238.80000000000007
_solar_photovoltaic_btm,2409,286.56
biomass,2409,21.4
hydroelectric_pumped_storage,2409,42.0
natural_gas_fired_combined_cycle,2409,1928.5
natural_gas_fired_combustion_turbine,2409,436.7589079999996
_onshore_wind_turbine,2410,131.56096
_small_hydroelectric,2410,3.184932
_solar_photovoltaic,2410,287.85000000000014
_solar_photovoltaic_btm,2410,345.42
biomass,2410,21.4
hydroelectric_pumped_storage,2410,42.0
natural_gas_fired_combined_cycle,2410,1928.5
natural_gas_fired_combustion_turbine,2410,608.5041079999995
_onshore_wind_turbine,2411,111.1936
_small_hydroelectric,2411,3.184932
_solar_photovoltaic,2411,301.95
_solar_photovoltaic_btm,2411,362.34
biomass,2411,21.4
hydroelectric_pumped_storage,2411,42.0
natural_gas_fired_combined_cycle,2411,1928.5
natural_gas_fired_combustion_turbine,2411,716.7714679999998
_onshore_wind_turbine,2412,92.11008
_small_hydroelectric,2412,3.184932
_solar_photovoltaic,2412,306.95
_solar_photovoltaic_btm,2412,368.34
biomass,2412,21.4
hydroelectric_pumped_storage,2412,42.0
natural_gas_fired_combined_cycle,2412,1928.5
natural_gas_fired_combustion_turbine,2412,568.8549879999997
_onshore_wind_turbine,2413,52.0934399999996
_small_hydroelectric,2413,3.184932
_solar_photovoltaic,2413,322.3000000000002
_solar_photovoltaic_btm,2413,386.76
biomass,2413,21.4
hydroelectric_pumped_storage,2413,42.0
natural_gas_fired_combined_cycle,2413,1928.5
natural_gas_fired_combustion_turbine,2413,373.5216280000001
_onshore_wind_turbine,2414,64.69247999999996
_small_hydroelectric,2414,3.184932
_solar_photovoltaic,2414,322.74999999999966
_solar_photovoltaic_btm,2414,387.29999999999995
biomass,2414,21.4
hydroelectric_pumped_storage,2414,42.0
natural_gas_fired_combined_cycle,2414,1928.5
natural_gas_fired_combustion_turbine,2414,283.4725880000003
_onshore_wind_turbine,2415,49.22112
_small_hydroelectric,2415,3.184932
_solar_photovoltaic,2415,312.05000000000035
_solar_photovoltaic_btm,2415,374.46
biomass,2415,21.4
hydroelectric_pumped_storage,2415,42.0
natural_gas_fired_combined_cycle,2415,1928.5
natural_gas_fired_combustion_turbine,2415,221.64394799999954
_onshore_wind_turbine,2416,65.41055999999963
_small_hydroelectric,2416,3.184932
_solar_photovoltaic,2416,284.7500000000002
_solar_photovoltaic_btm,2416,341.7
biomass,2416,21.4
hydroelectric_pumped_storage,2416,42.0
natural_gas_fired_combined_cycle,2416,1928.5
natural_gas_fired_combustion_turbine,2416,136.75450800000007
_onshore_wind_turbine,2417,57.18528000000022
_small_hydroelectric,2417,3.184932
_solar_photovoltaic,2417,233.90000000000015
_solar_photovoltaic_btm,2417,280.68
biomass,2417,21.4
hydroelectric_pumped_storage,2417,42.0
natural_gas_fired_combined_cycle,2417,1928.5
natural_gas_fired_combustion_turbine,2417,135.82978799999955
_onshore_wind_turbine,2418,78.61888000000002
_small_hydroelectric,2418,3.184932
_solar_photovoltaic,2418,161.8000000000002
_solar_photovoltaic_btm,2418,194.16
biomass,2418,21.4
hydroelectric_pumped_storage,2418,42.0
natural_gas_fired_combined_cycle,2418,1928.5
natural_gas_fired_combustion_turbine,2418,138.4961879999997
_onshore_wind_turbine,2419,52.61567999999997
_small_hydroelectric,2419,3.184932
_solar_photovoltaic,2419,23.849999999999902
_solar_photovoltaic_btm,2419,28.62
biomass,2419,21.4
hydroelectric_pumped_storage,2419,42.0
natural_gas_fired_combined_cycle,2419,1928.5
natural_gas_fired_combustion_turbine,2419,306.449388
_onshore_wind_turbine,2420,61.42847999999982
_small_hydroelectric,2420,3.184932
_solar_photovoltaic,2420,0.0
_solar_photovoltaic_btm,2420,0.0
biomass,2420,21.4
hydroelectric_pumped_storage,2420,42.0
natural_gas_fired_combined_cycle,2420,1928.5
natural_gas_fired_combustion_turbine,2420,444.48658800000004
_onshore_wind_turbine,2421,71.91679999999975
_small_hydroelectric,2421,3.184932
_solar_photovoltaic,2421,0.0
_solar_photovoltaic_btm,2421,0.0
biomass,2421,21.4
hydroelectric_pumped_storage,2421,42.0
natural_gas_fired_combined_cycle,2421,1928.5
natural_gas_fired_combustion_turbine,2421,438.9982680000001
_onshore_wind_turbine,2422,96.04863999999998
_small_hydroelectric,2422,3.184932
_solar_photovoltaic,2422,0.0
_solar_photovoltaic_btm,2422,0.0
biomass,2422,21.4
hydroelectric_pumped_storage,2422,42.0
natural_gas_fired_combined_cycle,2422,1928.5
natural_gas_fired_combustion_turbine,2422,166.86642799999993
_onshore_wind_turbine,2423,126.46912
_small_hydroelectric,2423,3.184932
_solar_photovoltaic,2423,0.0
_solar_photovoltaic_btm,2423,0.0
biomass,2423,21.4
hydroelectric_pumped_storage,2423,42.0
natural_gas_fired_combined_cycle,2423,1794.9459479999998
natural_gas_fired_combustion_turbine,2423,0.0
_onshore_wind_turbine,2424,144.4211200000001
_small_hydroelectric,2424,3.184932
_solar_photovoltaic,2424,0.0
_solar_photovoltaic_btm,2424,0.0
biomass,2424,21.4
hydroelectric_pumped_storage,2424,42.0
natural_gas_fired_combined_cycle,2424,1548.9939479999998
natural_gas_fired_combustion_turbine,2424,0.0
